lives,11
eyes,11
cigarette,11
gonzo,11
doze,11
twenty,11
fact,11
shots,11
c,11
ricin,11
explain,11
tio,11
bullshit,11
needs,11
truth,11
happy,11
pretty,11
names,11
--,11
blow,11
evidence,11
sound,11
detective,11
side,11
mother,11
marco,11
danny,11
{{,10
}},10
----,10
produce,10
learn,10
crystal,10
grand,10
hold,10
changed,10
selling,10
asking,10
heads,10
:'''''':,10
pulls,10
behind,10
sees,10
clear,10
leaves,10
discuss,10
operation,10
building,10
ready,10
sir,10
laughs,10
picks,10
everyone,10
sold,10
10,10
words,10
leaving,10
==,10
sounds,10
easy,10
late,10
device,10
:['',10
feeling,10
bullet,10
questions,10
yesterday,10
scared,10
completely,10
quiet,10
merkert,10
control,10
distribution,10
e,10
himself,10
boss,10
minutes,10
promise,10
goodman,10
screw,10
worry,10
chance,10
having,10
arrest,10
cell,10
lucky,10
mistake,10
jail,10
lung,9
trade,9
heart,9
picture,9
turning,9
wants,9
town,9
body,9
honey,9
almost,9
wearing,9
eat,9
started,9
wire,9
touch,9
wow,9
batch,9
week,9
treatment,9
black,9
company,9
toward,9
drink,9
elliot,9
process,9
silent,9
check,9
dad,9
''''',9
throws,9
"!""",9
ground,9
living,9
ends,9
beans,9
watching,9
eye,9
stands,9
friends,9
putting,9
somebody,9
calm,9
chemist,9
pull,9
hard,9
fish,9
ah,9
order,9
attorney,9
advice,9
bunch,9
sits,9
percent,9
anywhere,9
zombies,9
pick,9
message,9
hospital,9
top,9
died,9
accept,9
officer,9
cavanaugh,9
suit,9
ted,9
bar,9
mine,9
needed,9
ehrmantraut,9
knowledge,8
provide,8
usually,8
step,8
emilio,8
either,8
cleaning,8
bloody,8
however,8
per,8
hit,8
chuckles,8
bastard,8
smoke,8
tosses,8
pocket,8
plans,8
grow,8
bed,8
named,8
grab,8
problems,8
stares,8
sense,8
drive,8
line,8
air,8
morning,8
pop,8
mon,8
''?,8
poison,8
also,8
crap,8
clearly,8
shoot,8
deserve,8
drops,8
threatened,8
keys,8
shouldn,8
breaks,8
paid,8
weren,8
market,8
known,8
christ,8
killing,8
breathe,8
stops,8
o,8
hour,8
steps,8
poor,8
shakes,8
['',8
calling,8
shake,8
gardiner,8
#,8
hurt,8
murder,8
option,8
barrel,8
birthday,8
methylamine,8
charlie,8
(,7
decides,7
profits,7
term,7
meaning,7
pure,7
seven,7
stick,7
sixteen,7
floor,7
follow,7
case,7
